,title,price,link
0,"
Dell
                                                                [Smartchoice 15 Thin & Light Laptop, 12th Gen Intel
                                                                Core i3-1215U Processor/8GB/512GB SSD/Intel UHD
                                                                Graphics/15.6""(39.62cm) FHD/Windows 11 + MSO'21/15 Month
                                                                McAfee/Spill-Resistant KB/Grey/1.48kg  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfYXRmX25leHQ6MjAxNTM5MjE1NTQxOTg6OjA6Og&url=%2FDell-i3-1215U-Graphic-Spill-Resistant-Keyboard%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_17_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
1,"Acer Aspire Lite AMD Ryzen 7 5700U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/1 TB SSD/MSO) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","45,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfYXRmX25leHQ6MzAwMTYwMDA0MjIzNTMyOjowOjo&url=%2FAcer-Premium-Windows-AL15-41-Display%2Fdp%2FB0CWV1XCRP%2Fref%3Dsr_1_18_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 512GB,NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray, 2.65kg  ","69,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfbXRmOjMwMDE1Njk2Njg3ODIzMjo6MDo6&url=%2FDell-G15-5530-Gaming-i5-13450HX-Processor%2Fdp%2FB0CRKX3JRT%2Fref%3Dsr_1_27_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/Backlit KB/1 Yr ADP Free/3 Mon. Game Pass/Grey/1.6Kg), 83ER008DIN  ","52,460",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfbXRmOjMwMDEwMzQ0MzMzOTUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Warranty-83ER008DIN%2Fdp%2FB0CNVH114V%2Fref%3Dsr_1_28_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
4,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS  ","33,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_29?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-29
5,"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & light, Intel Iris Xáµ‰ graphics, Dual speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU  ","39,990",https://amazon.in//HP-i3-1315U-15-6-inch-Graphics-Speakers/dp/B0C3RF3HT3/ref=sr_1_30?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-30
6,"Dell 14 Thin & Light Laptop, AMD Ryzen R5-5500U/ 8GB DDR4 2400 MHz/ 512GB/ 14.0"" (35.56cm) FHD Display + Comfort View/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black/ 1.48kg  ","34,990",https://amazon.in//Dell-R5-5500U-35-56cm-Spill-Resistant-Keyboard/dp/B0CLH81BGH/ref=sr_1_31?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-31
7,"HP Laptop 15, 13th Gen Intel Core i5-1334U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB, MSO, Dual speakers (Win 11, Silver, 1.59 kg), fd0221TU  ","56,859",https://amazon.in//HP-i5-1334U-15-6-inch-graphics-speakers/dp/B0CTKHG3F6/ref=sr_1_32?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-32
8,"HP Laptop 14, 13th Gen Intel Core i3-1315U, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, FHD Camera w/Privacy Shutter, Thin & Light (Win 11, MSO 2021, Blue, 1.4 kg), gr0000TU  ","39,990",https://amazon.in//HP-i3-1315U-14-inch-Graphics-gr0000TU/dp/B0C9DL7THT/ref=sr_1_33?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-33
9,"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe graphics, FHD camera w/privacy shutter (Win 11, MSO 2021, Silver, 1.59 kg), fd0011TU  ","57,990",https://amazon.in//HP-i5-1335U-15-6-inch-Graphics-fd0011TU/dp/B0C3RCP717/ref=sr_1_34?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-34
10,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","38,990",https://amazon.in//Acer-i5-1235U-Windows-Graphics-AL15-52/dp/B0CLTVYC1Q/ref=sr_1_35?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-35
11,"ASUS Vivobook Go 15, Intel Celeron N4500, 15.6""(39.62cm) FHD 16:9 60 Hz, Thin & Light Laptop (8GB RAM/512 SSD/Intel HD Graphics/Win 11/Office 2021/Fingerprint Sensor/Star Black/1.57 Kg),E510KA-EJ011WS  ","24,990",https://amazon.in//ASUS-Vivobook-Intel-Celeron-39-62cm/dp/B0D81DRTXQ/ref=sr_1_36?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-36
12,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg  ","38,990",https://amazon.in//Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_19?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-19
13,"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB/1TB SSD/100% DCI-P3/FHD+IR Camera/Win11/MSO 21/1Yr ADP Free/3Mon. Game Pass/Grey/1.39Kg), 83CV002DIN  ","1,05,799",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfYnRmOjMwMDI0MDY1NTg1MTgzMjo6MDo6&url=%2FLenovo-Built-WUXGA-OLED-400Nits-83CV002DIN%2Fdp%2FB0CTMQDLQX%2Fref%3Dsr_1_37_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
14,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3Mon Game Pass/Grey/1.4Kg), 83DA0049IN  ","79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MzAzNTMxOTkyNjkzMjAyOjE3MjE1NzAxNzE6c3BfYnRmOjMwMDI0MDY1NTg1MTczMjo6MDo6&url=%2FLenovo-IdeaPad-WUXGA-OLED-400Nits-83DA0049IN%2Fdp%2FB0CSPG1TJZ%2Fref%3Dsr_1_38_sspa%3Fcrid%3DLXE7BB7APIB9%26dib%3DeyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721570171%26sprefix%3Dlaptop%252Caps%252C1337%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
15,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,512 GB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5326TU  ","34,990",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5326TU/dp/B0CYQ257C1/ref=sr_1_20?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-20
16,"Dell 15 Thin & Light Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Windows 11 + MSO'21, 15 Month McAfee Antivirus, Black, Spill-Resistant Keyboard,1.66kg  ","44,990",https://amazon.in//Dell-i5-1235U-Processor-Antivirus-Spill-Resistant/dp/B0CSG4G18G/ref=sr_1_21?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-21
17,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_22?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-22
18,"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W  ","19,990",https://amazon.in//ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_23?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-23
19,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey  ","66,990",https://amazon.in//Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_24?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-24
20,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg  ","48,990",https://amazon.in//Dell-Vostro-Metal-i5-1235U-35-56Cms/dp/B0BQJ7WR2R/ref=sr_1_25?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-25
21,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","18,290",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_26?crid=LXE7BB7APIB9&dib=eyJ2IjoiMSJ9.2npMM5sj6S9WZ48INo3Ub0fEpDkz2OzpMNQXBddAjqE9LAntimZ6ndCupvvo3ww-gQ0L4Zg-nMv9nx-e5qiw3jAudYcI7MYRdgwdh4QozTiq8jPyOKP1vt3xuf2nfPciw1k0Vg3NPuGRwWam2HgZv9j6nv_Op5-GO88Iqhh5XWU6Refdx7jzsPMGaqh90knGkM7CMyab4knfhnrew6KPMJoJCbP2wdJ51ucyO6PoacA.hBViYNOVtt9eJljk1heBtKR0qXZ09nmUjvnIvveWpBw&dib_tag=se&keywords=laptop&qid=1721570171&sprefix=laptop%2Caps%2C1337&sr=8-26
